Country,project_count,total_investment,avg_investment,median_investment,max_investment,min_investment
World Region,70,15467.76,220.968,53.0,1000.0,3.0
India,200,14203.12,71.0156,44.185,500.0,3.86
Brazil,117,9730.94,83.17042735042736,60.0,300.0,2.0
Turkiye,87,9261.39,106.45275862068965,80.0,440.0,3.0
China,95,6946.42,73.12021052631579,50.46,300.0,10.0
South Africa,56,5218.5,93.1875,57.795,300.0,2.83
Africa Region,87,4586.19,52.714827586206894,30.0,280.0,0.0
Mexico,57,3955.86,69.40105263157895,37.0,1000.0,3.5
Colombia,51,3731.76,73.17176470588235,50.0,400.0,4.0
"Egypt, Arab Republic of",58,3488.62,60.14862068965517,30.0,300.0,1.0
Romania,43,3264.7200000000003,75.92372093023256,58.67,200.0,5.87
Viet Nam,50,3094.8,61.896,50.0,200.0,4.0
Indonesia,39,2814.11,72.15666666666667,50.0,500.0,5.0
Nigeria,36,2585.68,71.82444444444444,32.5,500.0,3.0
Thailand,20,2199.51,109.97550000000001,119.545,400.0,7.0
Chile,21,2171.42,103.40095238095239,51.42,400.0,5.0
Latin America and the Caribbean Region,38,2091.5,55.03947368421053,30.0,250.0,6.0
Argentina,36,2027.47,56.31861111111111,50.0,150.0,3.0
Bangladesh,47,1978.03,42.085744680851064,35.0,225.1,3.0
Kenya,42,1916.91,45.64071428571429,30.0,150.0,1.5
Philippines,24,1722.13,71.75541666666668,45.0,250.0,5.16
Iraq,10,1602.28,160.228,127.5,500.0,6.0
Southern Europe Subregion,17,1520.56,89.44470588235293,56.05,250.0,1.5
Ecuador,28,1349.5,48.19642857142857,40.0,150.0,8.0
Western Africa Region,14,1313.93,93.85214285714287,34.0,250.0,8.54
East Asia and Pacific Region,26,1202.5,46.25,30.0,250.0,10.0
Poland,16,1199.87,74.991875,58.85,200.0,16.04
Eastern Europe Subregion,11,1172.6,106.6,71.02,245.61,22.27
Greece,9,1160.33,128.92555555555555,165.06,238.01,5.87
Pakistan,28,1121.36,40.04857142857143,31.5,156.13,2.0
Ethiopia,11,1049.99,95.45363636363636,100.0,250.0,3.0
Ukraine,21,1022.47,48.68904761904762,20.0,217.5,10.0
Morocco,16,1013.66,63.35375,53.455,134.96,6.55
Switzerland,1,1000.0,1000.0,1000.0,1000.0,1000.0
Cambodia,21,963.27,45.87,10.0,250.0,4.5
Guatemala,9,825.0,91.66666666666667,100.0,190.0,20.0
Ghana,18,822.73,45.70722222222222,20.0,250.0,2.5
Uzbekistan,19,812.5,42.76315789473684,26.0,165.0,5.0
Cote D'Ivoire,14,777.96,55.56857142857143,28.89,192.96,1.7
Panama,7,770.0,110.0,100.0,200.0,10.0
Mongolia,13,761.99,58.614615384615384,40.0,165.0,4.49
Senegal,15,755.02,50.334666666666664,10.49,316.91,3.28
Sri Lanka,18,753.76,41.87555555555556,20.5,150.0,2.44
Eastern Africa Region,8,741.5,92.6875,12.5,250.0,3.0
Tanzania,15,735.94,49.06266666666667,45.0,105.0,5.94
Myanmar,19,721.6,37.97894736842105,13.5,250.0,1.4
Georgia,15,710.06,47.337333333333326,30.0,200.0,4.0
Paraguay,11,688.0,62.54545454545455,60.0,105.0,8.0
Jordan,18,668.83,37.157222222222224,30.0,150.0,2.0
Croatia,5,662.84,132.568,110.77,214.56,91.43
Burkina Faso,7,659.11,94.15857142857143,23.6,200.0,8.99
Serbia,11,649.17,59.01545454545454,60.0,113.39,9.97
Armenia,13,582.3,44.79230769230769,20.0,200.0,14.4
"Middle East, Pakistan, and Afg Region",12,553.3,46.10833333333333,27.5,250.0,3.0
Kazakhstan,11,545.5,49.59090909090909,44.0,153.5,4.0
Peru,11,541.1,49.190909090909095,25.0,200.0,10.0
Nepal,9,531.1,59.01111111111111,30.0,250.0,3.0
El Salvador,7,453.0,64.71428571428571,50.0,180.0,15.0
Central Europe Subregion,5,398.39,79.678,30.0,181.2,16.47
Southern Africa Region,3,358.97,119.65666666666668,68.97,250.0,40.0
Dominican Republic,5,342.9,68.58,60.0,125.0,9.91
Central America Subregion,3,330.0,110.0,50.0,250.0,30.0
Guinea,5,325.96000000000004,65.19200000000001,25.0,150.0,6.11
Bulgaria,6,320.02,53.336666666666666,43.06,105.26,16.13
Costa Rica,10,313.76,31.375999999999998,21.0,75.0,12.0
Singapore,4,306.63,76.6575,75.815,115.0,40.0
Kyrgyz Republic,8,299.0,37.375,8.0,250.0,2.5
Cameroon,5,284.36,56.872,16.28,233.17,3.2
Zambia,11,258.87,23.533636363636365,17.0,75.0,6.0
Central Asia and Turkiye Region,2,255.0,127.5,127.5,250.0,5.0
Ireland,1,250.0,250.0,250.0,250.0,250.0
Nicaragua,4,242.0,60.5,73.5,85.0,10.0
Mauritius,3,236.64,78.88,37.5,169.14,30.0
Tunisia,10,232.71,23.271,21.855,46.72,6.12
Madagascar,9,232.45,25.827777777777776,13.13,149.07,1.5
Lebanon,7,230.66,32.95142857142857,30.0,75.0,4.0
South Asia Region,4,225.0,56.25,55.0,70.0,45.0
Malaysia,2,220.0,110.0,110.0,150.0,70.0
Mauritania,4,202.0,50.5,51.0,80.0,20.0
"Congo, Democratic Republic of",6,187.5,31.25,32.5,50.0,5.0
Uganda,6,185.12,30.853333333333335,20.0,103.0,4.0
Europe Region,1,166.78,166.78,166.78,166.78,166.78
West Bank and Gaza,7,159.87,22.83857142857143,10.47,75.0,4.4
Belarus,5,156.82,31.363999999999997,25.0,75.0,10.0
Southeast Asia Subregion,4,142.5,35.625,31.25,70.0,10.0
Honduras,3,140.0,46.666666666666664,50.0,60.0,30.0
Gabon,3,139.51999999999998,46.50666666666666,48.73,50.18,40.61
Mozambique,3,128.2,42.73333333333333,23.0,104.0,1.2
Botswana,4,120.0,30.0,30.0,40.0,20.0
Unknown,1,108.5,108.5,108.5,108.5,108.5
North Africa and Horn of Africa Region,3,102.84,34.28,40.0,47.74,15.1
Angola,2,91.59,45.795,45.795,50.0,41.59
"Hong Kong SAR, China",2,90.0,45.0,45.0,75.0,15.0
Rwanda,5,88.0,17.6,10.0,40.0,3.0
Maldives,2,85.0,42.5,42.5,50.0,35.0
Sierra Leone,5,77.5,15.5,6.0,60.0,2.5
"Yemen, Republic of",2,77.0,38.5,38.5,55.0,22.0
Trinidad and Tobago,1,75.0,75.0,75.0,75.0,75.0
Albania,2,72.09,36.045,36.045,39.05,33.04
Caribbean Subregion,1,70.0,70.0,70.0,70.0,70.0
Togo,2,68.17,34.085,34.085,59.51,8.66
Namibia,2,64.12,32.06,32.06,50.0,14.12
Uruguay,1,60.0,60.0,60.0,60.0,60.0
Cabo Verde,3,57.790000000000006,19.263333333333335,12.73,38.95,6.11
Lao People's Democratic Republic,4,54.0,13.5,12.5,27.0,2.0
Tajikistan,10,51.5,5.15,4.0,10.0,2.0
Saudi Arabia,1,50.0,50.0,50.0,50.0,50.0
Azerbaijan,2,50.0,25.0,25.0,30.0,20.0
Kosovo,14,46.02,3.2871428571428574,3.335,5.57,0.86
Jamaica,1,40.0,40.0,40.0,40.0,40.0
Moldova,1,31.22,31.22,31.22,31.22,31.22
Papua New Guinea,1,30.0,30.0,30.0,30.0,30.0
Bolivia,2,30.0,15.0,15.0,15.0,15.0
United Arab Emirates,2,27.0,13.5,13.5,17.0,10.0
Mali,5,25.28,5.056,2.17,15.18,1.22
Haiti,5,17.0,3.4,3.0,4.5,2.5
Bosnia and Herzegovina,2,16.09,8.045,8.045,10.0,6.09
Comoros,1,15.88,15.88,15.88,15.88,15.88
Solomon Islands,1,15.0,15.0,15.0,15.0,15.0
Afghanistan,2,12.5,6.25,6.25,10.0,2.5
Seychelles,1,10.0,10.0,10.0,10.0,10.0
"Cen Afr, and Anglophne W Africa Region",1,10.0,10.0,10.0,10.0,10.0
Burundi,1,10.0,10.0,10.0,10.0,10.0
North Macedonia,1,8.59,8.59,8.59,8.59,8.59
Israel,1,8.0,8.0,8.0,8.0,8.0
Liberia,2,7.9,3.95,3.95,5.4,2.5
Bhutan,2,6.5,3.25,3.25,3.5,3.0
Fiji,1,5.0,5.0,5.0,5.0,5.0
Montenegro,1,4.46,4.46,4.46,4.46,4.46
Malawi,1,4.0,4.0,4.0,4.0,4.0
South Sudan,1,3.75,3.75,3.75,3.75,3.75
Chad,1,1.03,1.03,1.03,1.03,1.03
Timor-Leste,1,1.0,1.0,1.0,1.0,1.0
